source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND000000AFG,IND673027AAB,1.8255360623781678,2,65.0,36.5,28.966247826115662
IND000000AFG,IND673632AAA,2.176245210727969,6,68.5,38.0,29.31095808593963
IND000000AFJ,IND695121AAA,1.0769230769230769,40,22.5,21.5,14.363596807462883
IND000000AFJ,IND695572AAB,2.333333333333333,2,44.0,20.5,13.332701565611469
IND000000AFR,IND683511AAA,1.8,24,46.0,23.0,18.515911235052272
IND000000AFT,IND400072AAB,2.0,20,26.0,13.0,10.391958310177506
IND000000AFT,IND400701AAA,3.25,2,45.0,15.5,14.056352849677221
IND000000AFT,IND400706AAA,3.511111111111111,2,56.0,14.0,10.107569831956413
IND000000AFT,IND410206AAA,2.333333333333333,5,35.0,13.0,14.791167556748022
IND000000AFT,IND410206AAB,2.8,2,46.0,15.0,11.030556141941691
IND000000AFT,IND410209AAA,2.0,78,29.5,14.0,9.593016071777784
IND000000AFT,IND410210AAA,2.75,15,46.0,15.0,9.939511275086833
IND000000AFT,IND421302AAG,2.326470588235294,28,46.5,19.5,15.515939356712906
IND110014AAA,IND110024AAA,3.1720779220779223,14,32.5,11.0,9.564856007519989
IND110020AAB,IND110037AAM,2.4615384615384617,7,63.0,22.0,18.37758749344103
IND110024AAA,IND110014AAA,1.7738095238095237,10,14.0,7.0,9.373892630180666
IND110030AAD,IND000000ACB,1.595959595959596,34,56.0,31.5,29.35415707398365
IND110035AAC,IND110037AAM,1.7857142857142856,6,28.5,16.5,11.866473609640751
IND110037AAK,IND000000ACB,1.7142857142857142,177,54.0,30.0,27.097099542391856
IND110037AAM,IND000000ACB,1.5762962962962963,24,56.5,35.5,31.257720818958905
IND110037AAM,IND110020AAB,2.9,20,60.5,23.0,18.132596877613707
IND110037AAM,IND110024AAA,2.5,29,44.0,23.0,17.777846753510516
IND110037AAM,IND110035AAC,1.9090909090909087,71,31.0,17.0,11.809422765298356
IND110037AAM,IND110064AAA,5.39375,2,103.5,18.0,9.21087779496442
IND110037AAM,IND110085AAB,1.9,45,39.0,22.0,17.117827080757795
IND110037AAM,IND110092AAC,2.0,3,61.0,27.0,18.78941247889472
IND110037AAM,IND121004AAB,1.875,137,38.0,22.0,18.18240709215675
