source_center,destination_center,route_type,time_of_day,median_delay,trip_count
IND000000ACB,IND302014AAA,FTL,Night,1.5625,144
IND000000ACB,IND302014AAA,FTL,Morning,1.6055555555555556,108
IND000000ACB,IND302014AAA,FTL,Afternoon,1.6180555555555556,18
IND000000ACB,IND302022AAD,FTL,Afternoon,1.5294117647058822,179
IND000000ACB,IND328001AAA,FTL,Morning,1.5,50
IND000000ACB,IND382430AAB,FTL,Afternoon,1.657142857142857,30
IND000000ACB,IND382430AAB,FTL,Evening,1.6,526
IND000000ACB,IND390022AAA,FTL,Evening,1.5625,385
IND000000ACB,IND411033AAA,FTL,Night,1.5294117647058822,94
IND000000ACB,IND411033AAA,FTL,Evening,1.5,1018
IND000000ACB,IND421302AAG,FTL,Night,1.5789473684210529,147
IND000000ACB,IND421302AAG,FTL,Morning,1.7142857142857142,246
IND000000ACB,IND421302AAG,FTL,Afternoon,1.65,537
IND000000ACB,IND421302AAG,FTL,Evening,1.6111111111111112,685
IND000000ACB,IND462022AAA,FTL,Night,1.4545454545454546,432
IND000000ACB,IND462022AAA,FTL,Evening,1.3616557734204795,26
IND000000ACB,IND474003AAA,FTL,Morning,1.5,13
IND000000ACB,IND501359AAE,FTL,Night,1.55,736
IND000000ACB,IND501359AAE,FTL,Afternoon,1.6310068649885583,614
IND000000ACB,IND501359AAE,FTL,Evening,1.6,285
IND000000ACB,IND521225AAB,FTL,Night,1.5,680
IND000000ACB,IND562132AAA,FTL,Night,1.4705882352941178,2481
IND000000ACB,IND562132AAA,FTL,Morning,1.5,881
IND000000ACB,IND562132AAA,FTL,Afternoon,1.5208695652173914,1608
IND000000ACB,IND600056AAB,FTL,Night,1.6111111111111112,934
IND000000ACB,IND600056AAB,FTL,Morning,1.7222222222222223,79
IND000000ACB,IND712311AAA,FTL,Night,1.65,997
IND000000ACB,IND712311AAA,FTL,Afternoon,1.6666666666666667,949
IND000000ACB,IND712311AAA,FTL,Evening,1.6470588235294117,882
IND000000ACB,IND751002AAB,FTL,Night,1.5,676
IND000000ACB,IND751002AAB,FTL,Evening,1.6058201058201058,174
IND000000ACB,IND821115AAB,FTL,Night,1.75,628
IND000000ACB,IND821115AAB,FTL,Evening,1.6875,37
IND000000ACB,IND834002AAB,FTL,Night,1.5345238095238096,544
IND000000ACB,IND834002AAB,FTL,Evening,1.5751879699248121,182
IND000000ACB,IND842001AAA,FTL,Night,1.631578947368421,720
IND000000ACK,IND501359AAF,Carting,Morning,5.695652173913044,1
IND000000ACK,IND501359AAF,Carting,Afternoon,2.3,93
IND000000ACN,IND501359AAF,Carting,Afternoon,2.236111111111111,28
IND000000ACN,IND501359AAF,Carting,Evening,1.3666666666666667,4
IND000000ACT,IND000000ACB,Carting,Night,1.6666666666666667,80
IND000000ACT,IND000000ACB,Carting,Morning,1.8444444444444446,20
IND000000ACT,IND000000ACB,Carting,Afternoon,1.375,27
IND000000ACT,IND000000ACB,Carting,Evening,1.5,65
IND000000ACT,IND000000ACB,FTL,Afternoon,1.2426470588235294,42
IND000000ACT,IND000000ACB,FTL,Evening,1.1538461538461535,71
IND000000ACT,IND131028AAB,Carting,Morning,2.0,35
IND000000ACT,IND131028AAB,Carting,Afternoon,1.5294117647058822,71
IND000000ACT,IND131028AAB,Carting,Evening,1.3869047619047619,58
IND000000ACT,IND160002AAC,FTL,Night,1.75,210
