hub,betweenness,in_degree,out_degree,avg_delay,betweenness_norm,in_degree_norm,out_degree_norm,avg_delay_norm,bottleneck_score,clustering_coeff
IND000000ACB,0.2293546034911233,45,47,1.5714285714285714,1.0,1.0,1.0,0.0448979591836734,0.8089795918367347,0.03798947983635301
IND562132AAA,0.1526075536838345,36,35,1.5,0.6653782019672472,0.8,0.7446808510638298,0.0428571428571428,0.5836588795710934,0.05357142857142857
IND501359AAE,0.0768002500037202,30,27,1.7,0.3348537541200591,0.6666666666666666,0.574468085106383,0.0485714285714285,0.3918827377169193,0.042682926829268296
IND160002AAC,0.0535458116936263,32,29,1.68,0.2334629908385455,0.7111111111111111,0.6170212765957447,0.048,0.3686116738767894,0.03433001107419712
IND421302AAG,0.0542820577687167,29,29,1.7777777777777777,0.2366730684384002,0.6444444444444445,0.6170212765957447,0.0507936507936507,0.3571211017421281,0.06156156156156156
IND712311AAA,0.0813698864566437,24,22,1.8125,0.354777646570294,0.5333333333333333,0.4680851063829787,0.0517857142857142,0.3525518894285229,0.0392156862745098
IND110037AAM,0.0512418339558624,20,22,1.6538461538461535,0.223417507980587,0.4444444444444444,0.4680851063829787,0.0472527472527472,0.2813234628082689,0.06896551724137931
IND411033AAA,0.0457949523058378,23,20,1.5625,0.1996687731956087,0.5111111111111111,0.425531914893617,0.0446428571428571,0.2761246859077605,0.06157635467980296
IND131028AAB,0.0468983913451093,20,19,1.5,0.2044798344190392,0.4444444444444444,0.4042553191489361,0.0428571428571428,0.2601033150577204,0.03908045977011494
IND600056AAB,0.0415556779118736,18,18,1.625,0.1811852793854299,0.4,0.3829787234042553,0.0464285714285714,0.2383555707207373,0.05928853754940711
IND781018AAB,0.0444136073453474,17,15,1.838918918918919,0.1936460252783473,0.3777777777777777,0.3191489361702128,0.0525405405405405,0.2273518610090451,0.03162055335968379
IND209304AAA,0.0426561407163797,16,13,1.6132478632478633,0.1859833640445355,0.3555555555555555,0.2765957446808511,0.046092796092796,0.2100421648836547,0.03463203463203463
IND208012AAA,0.0,1,1,35.0,0.0,0.0222222222222222,0.0212765957446808,1.0,0.2086997635933806,0.0
IND382430AAB,0.0309703269393889,17,13,1.6842105263157894,0.1350325062936337,0.3777777777777777,0.2765957446808511,0.0481203007518796,0.1945117671595552,0.03985507246376811
IND785634AAA,0.0,1,1,31.2,0.0,0.0222222222222222,0.0212765957446808,0.8914285714285715,0.1869854778790949,1.0
IND842001AAA,0.0245628655188321,12,15,1.8964285714285716,0.1070955853728167,0.2666666666666666,0.3191489361702128,0.0541836734693877,0.1708380894103801,0.057971014492753624
IND302014AAA,0.0431970713849908,9,8,1.6,0.1883418546105733,0.2,0.1702127659574468,0.0457142857142857,0.1585221521785758,0.07692307692307693
IND462022AAA,0.0277604577449069,12,9,1.6666666666666667,0.1210372816693052,0.2666666666666666,0.1914893617021276,0.0476190476190476,0.1495699278652904,0.0661764705882353
IND560099AAB,0.0038144168812035,11,18,1.4,0.0166310892528094,0.2444444444444444,0.3829787234042553,0.04,0.1401370692708637,0.1368421052631579
IND425405AAA,1.860146728373934e-06,2,2,20.94,8.110352703018349e-06,0.0444444444444444,0.0425531914893617,0.5982857142857143,0.1370599141849853,0.6666666666666666
IND683511AAA,0.0229750442714921,13,7,1.3448275862068966,0.1001725883055202,0.2888888888888888,0.1489361702127659,0.038423645320197,0.1353187762065784,0.029411764705882353
IND530012AAA,0.018418800875013,10,11,1.7222222222222223,0.080307090394747,0.2222222222222222,0.2340425531914893,0.0492063492063492,0.133217061081911,0.054945054945054944
IND751002AAB,0.0228206520930371,13,6,1.7575757575757576,0.0994994290311697,0.2888888888888888,0.1276595744680851,0.0502164502164502,0.1331527543271527,0.10833333333333334
IND000000ACA,0.0093673268947454,13,9,1.8,0.0408421141418598,0.2888888888888888,0.1914893617021276,0.0514285714285714,0.1226982100606615,0.11666666666666667
IND400072AAB,0.0050622033065968,11,11,2.5,0.0220715138459941,0.2444444444444444,0.2340425531914893,0.0714285714285714,0.1188117193512987,0.07692307692307693
IND121002AAA,0.0,1,1,19.08333333333333,0.0,0.0222222222222222,0.0212765957446808,0.5452380952380951,0.1177473826409996,0.0
IND713205AAB,0.0145731335287727,7,11,2.0625,0.0635397472165269,0.1555555555555555,0.2340425531914893,0.0589285714285714,0.115121234921734,0.054945054945054944
IND244901AAB,0.0141676215419872,10,7,1.5,0.0617716903272689,0.2222222222222222,0.1489361702127659,0.0428571428571428,0.1075117831893338,0.08333333333333333
IND580028AAA,0.01334766886412,9,8,1.7777777777777777,0.0581966468557784,0.2,0.1702127659574468,0.0507936507936507,0.1074799420925309,0.0989010989010989
IND505001AAB,0.0109469634964806,10,8,1.5384615384615383,0.0477294256572629,0.2222222222222222,0.1702127659574468,0.0439560439560439,0.1063699766900477,0.14102564102564102
IND854326AAB,0.0183622524144704,7,8,1.6,0.0800605356725753,0.1555555555555555,0.1702127659574468,0.0457142857142857,0.1063207357144877,0.14102564102564102
IND395023AAA,0.0152885459605053,8,8,1.56,0.0666589888661078,0.1777777777777777,0.1702127659574468,0.0445714285714285,0.1051759900077737,0.16363636363636364
IND302014AAB,0.0001052843048259,9,12,1.75,0.0004590459629908,0.2,0.2553191489361702,0.05,0.1012474481724304,0.0380952380952381
IND518002AAA,0.0093464932513876,9,8,1.5454545454545454,0.0407512781915859,0.2,0.1702127659574468,0.0441558441558441,0.0991742332992925,0.10909090909090909
IND826004AAA,0.0116508430184972,7,9,1.58359133126935,0.0507983831200851,0.1555555555555555,0.1914893617021276,0.0452454666076957,0.0987774300211098,0.07692307692307693
IND521225AAB,0.0113059718150567,8,8,1.588235294117647,0.0492947237289455,0.1777777777777777,0.1702127659574468,0.0453781512605042,0.0983916284907239,0.10256410256410256
IND151103AAA,0.0,1,1,15.672364672364672,0.0,0.0222222222222222,0.0212765957446808,0.4477818477818477,0.0982561331497501,0.0
IND743270AAA,0.0004062560454768,1,1,15.35135135135135,0.0017713010303392,0.0222222222222222,0.0212765957446808,0.4386100386100386,0.097130291727524,1.0
IND741201AAC,0.0004070001041682,1,1,15.271929824561402,0.0017745451714204,0.0222222222222222,0.0212765957446808,0.4363408521303258,0.0966777520880139,0.0
IND722151AAA,0.000812140061608,1,1,14.207738095238096,0.0035409799901378,0.0222222222222222,0.0212765957446808,0.4059353741496598,0.0913032304193677,1.0
IND493445AAB,7.440586913495736e-07,1,1,14.40983606557377,3.2441410812073395e-06,0.0222222222222222,0.0212765957446808,0.4117096018735363,0.0910429816245203,0.0
IND533106AAA,0.0057046979865771,8,8,1.9444444444444444,0.0248728296696166,0.1777777777777777,0.1702127659574468,0.0555555555555555,0.0906583517260027,0.15555555555555556
IND742101AAC,0.0141311626661111,6,6,2.333333333333333,0.0616127274142897,0.1333333333333333,0.1276595744680851,0.0666666666666666,0.0901770058593329,0.05454545454545454
IND842003AAB,0.0121705680144049,5,8,2.2,0.0530644156653084,0.1111111111111111,0.1702127659574468,0.0628571428571428,0.0900619702512635,0.06060606060606061
IND575004AAB,0.0126370928138811,6,7,2.0,0.0550984921232254,0.1333333333333333,0.1489361702127659,0.0571428571428571,0.0899218689870814,0.07692307692307693
IND786001AAB,0.0121415497254423,6,7,2.0,0.0529378941631413,0.1333333333333333,0.1489361702127659,0.0571428571428571,0.0890576298030478,0.10606060606060606
IND121004AAB,0.0048851173380556,9,7,1.851648351648352,0.0212994082686667,0.2,0.1489361702127659,0.0529042386185243,0.0888878450737247,0.05555555555555555
IND125001AAA,0.0076485513177279,7,8,1.6842105263157894,0.0333481482442708,0.1555555555555555,0.1702127659574468,0.0481203007518796,0.0881169837506847,0.10606060606060606
IND560300AAA,0.0056849804312564,4,12,1.4285714285714286,0.0247868599309646,0.0888888888888888,0.2553191489361702,0.0408163265306122,0.0869196168435201,0.21794871794871795
